target_no,company,query_aliases
1,Australian Strategic Metals,"ASM; Australian Strategic Materials"
2,Cognex,Cognex Corporation
3,Corning,Corning Incorporated
4,Charles River,Charles River Laboratories
5,Cytiva,
6,Moderna,Moderna Inc
7,West Pharmaceutical,West Pharmaceutical Services
8,Dupont,DuPont
9,Albemarle,Albemarle Corporation
10,TIMET,Titanium Metals Corporation
11,Air Products,Air Products and Chemicals
12,Chemours,The Chemours Company
13,BorgWarner,BorgWarner Inc
14,DOW,Dow Inc
15,Thermo Fisher,Thermo Fisher Scientific
16,Amkor Technology,
17,Onsemi,onsemi
18,Qualcomm,Qualcomm Incorporated
19,Skyworks,Skyworks Solutions
20,Eli Lilly and Company,Eli Lilly
21,GE Healthcare,GE HealthCare
22,Boeing,The Boeing Company
23,3M,3M Company
24,Ouster,Ouster Inc
25,Applied Materials,
26,Magnix,magniX
27,Prodrive,Prodrive Technologies
28,ASML,ASML Holding
29,Besi,"BE Semiconductor Industries; BESI"
30,NXP,NXP Semiconductors
31,Norsk Hydro,Hydro
32,Vestas,Vestas Wind Systems
33,Heidenhain,HEIDENHAIN
34,Infineon,Infineon Technologies
35,Schmalz,J. Schmalz
36,Bayer,Bayer AG
37,Merck,Merck KGaA
38,Schott Pharma,SCHOTT Pharma
39,BASF,BASF SE
40,Evonik Industries,Evonik
41,Heraeus,Heraeus Group
42,Jenoptik,JENOPTIK
43,EMM(Umicore),"EMM Umicore; Umicore EMM"
44,Umicore,
45,Solvay,Solvay SA
46,Syensqo,
47,Hexagon AB,Hexagon
48,ABB,ABB Group
49,Maxon,maxon group
50,Siemens-Gamesa,Siemens Gamesa
51,Renishaw,Renishaw plc
52,Nexeon,Nexeon Limited
53,Rio Tinto,
54,HyproMag,HyProMag
55,EVG,EV Group
56,Plansee,Plansee Group
57,Texcell,
58,Veolia,Veolia Group
59,Airbus,Airbus SE
60,Safran,Safran Group
61,Air Liquide,
62,Arkema,
63,DNP,Dai Nippon Printing
64,Hitachi Metals,Proterial
65,Toppan Holdings,TOPPAN Holdings
66,Nabtesco,Nabtesco Corporation
67,Asahi Glass,"AGC Inc; AGC"
68,JSR,JSR Corporation
69,Shin-Etsu Chemicals,Shin-Etsu Chemical
70,Tokyo Electron,TEL
71,Tosoh,Tosoh Corporation
72,Mitsubishi Chemical,Mitsubishi Chemical Group
73,Sumitomo Chemical,
74,Asahi Kasei,
75,Toray,Toray Industries
76,Cheng Uei Precision,"Foxlink; Cheng Uei Precision Industry"
77,Shanghai Electric Wind Power,Shanghai Electric Wind Power Group
