target_no,company
1,Australian Strategic Metals
2,Cognex
3,Corning
4,Charles River
5,Cytiva
6,Moderna
7,West Pharmaceutical
8,Dupont
9,Albemarle
10,TIMET
11,Air Products
12,Chemours
13,BorgWarner
14,DOW
15,Thermo Fisher
16,Amkor Technology
17,Onsemi
18,Qualcomm
19,Skyworks
20,Eli Lilly and Company
21,GE Healthcare
22,Boeing
23,3M
24,Ouster
25,Applied Materials
26,Magnix
27,Prodrive
28,ASML
29,Besi
30,NXP
31,Norsk Hydro
32,Vestas
33,Heidenhain
34,Infineon
35,Schmalz
36,Bayer
37,Merck
38,Schott Pharma
39,BASF
40,Evonik Industries
41,Heraeus
42,Jenoptik
43,EMM(Umicore)
44,Umicore
45,Solvay
46,Syensqo
47,Hexagon AB
48,ABB
49,Maxon
50,Siemens-Gamesa
51,Renishaw
52,Nexeon
53,Rio Tinto
54,HyproMag
55,EVG
56,Plansee
57,Texcell
58,Veolia
59,Airbus
60,Safran
61,Air Liquide
62,Arkema
63,DNP
64,Hitachi Metals
65,Toppan Holdings
66,Nabtesco
67,Asahi Glass
68,JSR
69,Shin-Etsu Chemicals
70,Tokyo Electron
71,Tosoh
72,Mitsubishi Chemical
73,Sumitomo Chemical
74,Asahi Kasei
75,Toray
76,Cheng Uei Precision
77,Shanghai Electric Wind Power
